en,ja
wrapper program,ラッパプログラム
wrapper,ラッパ
wrapper,ラッパー
write ahead log,先行書き込みログ
write cache,ライトキャッシュ
write through,ライトスルー
write-Ahead Log,ログ先行書き込み
write-ahead logging,ログ先行書き込み
write-back,write-back
write-through,write-through
writer process,ライタプロセス
writer,ライタ
writer,ライター
WRONG,間違い
X3H2,X3H2
XML,XML
XPath,XPath
XSLT,XSLT
zero bytes,ゼロバイト
zero octet,ゼロオクテット
zero transactions,ゼロトランザクション
zero,ゼロ
zone,ゾーン
